,county_number,sale_total_16_pred sum,sale_total_15 sum,county,state,predicted_difference
0,1.0,513958.088083,414283.09,Adair,iowa,-99674.998083
1,2.0,100042.649978,100596.8,Adams,iowa,554.150021857
2,3.0,810533.085541,823579.28,Allamakee,iowa,13046.1944593
3,4.0,792012.305743,835142.62,Appanoose,iowa,43130.3142571
4,5.0,47504.4224955,38984.78,Audubon,iowa,-8519.64249545
5,6.0,826328.66292,724073.42,Benton,iowa,-102255.24292
6,7.0,16059951.1987,15585500.07,Black Hawk,iowa,-474451.128683
7,8.0,1924140.46282,1750879.5,Boone,iowa,-173260.962819
8,9.0,1640588.21747,1783611.67,Bremer,iowa,143023.452527
9,10.0,1344102.42987,1295370.1,Buchanan,iowa,-48732.329868
10,11.0,1766765.05911,1772053.57,Buena Vista,iowa,5288.51088942
11,12.0,387850.462715,283132.74,Butler,iowa,-104717.722715
12,13.0,301807.511926,228104.16,Calhoun,iowa,-73703.3519259
13,14.0,2142343.95247,2257701.69,Carroll,iowa,115357.737526
14,15.0,1174660.57464,1086379.07,Cass,iowa,-88281.5046395
15,16.0,604787.222042,528189.68,Cedar,iowa,-76597.5420418
16,17.0,5417091.10884,5711128.32,Cerro Gordo,iowa,294037.211157
17,18.0,515332.496301,537905.72,Cherokee,iowa,22573.2236994
18,19.0,407005.148218,379396.07,Chickasaw,iowa,-27609.0782179
19,20.0,560034.197391,637795.05,Clarke,iowa,77760.8526088
20,21.0,1403947.63081,1537715.0,Clay,iowa,133767.369193
21,22.0,739599.270295,694332.7,Clayton,iowa,-45266.570295
22,23.0,2903916.94007,3106377.87,Clinton,iowa,202460.92993
23,24.0,1251433.80246,1228456.92,Crawford,iowa,-22976.882463
24,25.0,4380657.40424,5336002.4,Dallas,iowa,955344.99576
25,26.0,92307.2859778,96100.18,Davis,iowa,3792.89402225
26,27.0,177373.431003,150149.1,Decatur,iowa,-27224.3310028
27,28.0,876461.326358,842844.6,Delaware,iowa,-33616.7263578
28,29.0,3534634.05686,3764794.12,Des Moines,iowa,230160.063143
29,30.0,2760851.07228,3800404.95,Dickinson,iowa,1039553.87772
30,31.0,8141675.69856,8501724.24,Dubuque,iowa,360048.541443
31,32.0,573758.309844,585162.54,Emmet,iowa,11404.2301556
32,33.0,1308663.37098,1044082.53,Fayette,iowa,-264580.840983
33,34.0,1035356.02979,964468.12,Floyd,iowa,-70887.9097867
34,35.0,283583.807136,186944.94,Franklin,iowa,-96638.8671359
35,36.0,34579.7652841,24029.55,Fremont,iowa,-10550.2152841
36,37.0,349823.527983,267792.56,Greene,iowa,-82030.9679832
37,38.0,332727.186174,247934.81,Grundy,iowa,-84792.376174
38,39.0,286944.434291,291363.21,Guthrie,iowa,4418.77570877
39,40.0,852993.257905,849990.46,Hamilton,iowa,-3002.79790528
40,41.0,273536.276182,284753.18,Hancock,iowa,11216.903818
41,42.0,1781737.99359,1777420.46,Hardin,iowa,-4317.53359354
42,43.0,345776.060446,355642.86,Harrison,iowa,9866.79955445
43,44.0,1063243.34228,1068309.64,Henry,iowa,5066.29772388
44,45.0,431067.276086,709719.41,Howard,iowa,278652.133914
45,46.0,700015.009516,648221.79,Humboldt,iowa,-51793.2195164
46,47.0,426465.702623,406371.29,Ida,iowa,-20094.4126229
47,48.0,1057911.67369,984246.37,Iowa,iowa,-73665.3036873
48,49.0,1284879.29395,1184183.87,Jackson,iowa,-100695.423951
49,50.0,1630007.50405,1595251.94,Jasper,iowa,-34755.5640474
50,51.0,898003.572092,863429.3,Jefferson,iowa,-34574.272092
51,52.0,15843777.9803,16625435.26,Johnson,iowa,781657.279695
52,53.0,868235.301741,721248.67,Jones,iowa,-146986.631741
53,54.0,148471.560476,149560.78,Keokuk,iowa,1089.21952449
54,55.0,1434357.33108,1534420.39,Kossuth,iowa,100063.058915
55,56.0,3438134.74444,3842184.77,Lee,iowa,404050.025557
56,57.0,21612827.4323,21970908.98,Linn,iowa,358081.547689
57,58.0,254172.540284,229581.64,Louisa,iowa,-24590.9002842
58,59.0,458868.550994,415069.06,Lucas,iowa,-43799.4909938
59,60.0,699517.545235,721142.26,Lyon,iowa,21624.7147654
60,61.0,498120.221896,519046.29,Madison,iowa,20926.0681041
61,62.0,959042.222959,962526.23,Mahaska,iowa,3484.00704119
62,63.0,2009279.17307,1972971.39,Marion,iowa,-36307.7830658
63,64.0,3055054.13587,2851202.29,Marshall,iowa,-203851.845867
64,65.0,517777.973642,436874.08,Mills,iowa,-80903.8936418
65,66.0,484546.300398,437388.82,Mitchell,iowa,-47157.4803977
