,store_number,price_per_liter_mean_15,margin_mean_15,margin_sum_15,sale_total_15,sale_mean_15,vol_sol_l_sum_15,vol_sold_l_mean_15
0,2106,18.8467099956,93.8022814583,478579.24,1434021.94,281.070548804,93982.72,18.4207604861
1,2113,17.6240666877,21.0824246877,28693.18,85763.42,63.0150036738,6500.83,4.77650991918
2,2130,17.5064274259,93.6124943024,369675.74,1108184.99,280.624206128,65562.88,16.6024006077
3,2152,13.0449178696,16.8247038328,24143.45,72080.36,50.2302160279,6164.92,4.29611149826
4,2178,16.5996906461,35.0114570034,93235.51,277987.96,104.389019902,21719.49,8.15602328201
5,2190,24.2994961688,31.8774372328,410103.23,1228496.81,95.4913960358,64390.9,5.00512242518
6,2191,18.9226945507,76.5189730216,425445.49,1275511.37,229.408519784,81213.53,14.60675
7,2200,17.0456632266,19.3373453608,75028.9,223899.24,57.7059896907,17291.09,4.45646649485
8,2228,17.708520184,22.4270237673,63221.78,188879.7,67.0023767293,15188.97,5.38807023767
9,2233,20.375810956,41.892132964,105861.42,316855.05,125.387831421,23620.75,9.34734863474
10,2238,22.3876127345,66.4030492424,35060.81,105128.53,199.107064394,5771.25,10.9303977273
11,2248,27.7905401693,47.8693242069,220294.63,659358.37,143.276481964,28855.5,6.27020860495
12,2285,26.6720998854,86.7601504011,259586.37,777104.53,259.727449866,37088.59,12.3959191176
13,2290,18.9226906671,22.9481762576,183837.84,550217.8,68.682786169,36511.83,4.55771189614
14,2327,17.7733705944,18.7060545353,33614.78,100596.8,55.9804117974,7547.62,4.20012242627
15,2353,16.50357729,44.0411766297,162820.23,485476.01,131.316205031,37904.86,10.2528698945
16,2413,17.4725499745,62.1990040107,279149.13,836101.13,186.297043226,54200.61,12.0767847594
17,2445,14.600537415,14.2518095238,23943.04,71682.86,42.6683690476,6258.16,3.7250952381
18,2448,17.351759818,16.0432686391,67782.81,203110.5,48.0734911243,13565.32,3.21072662722
19,2459,14.5383387755,25.1911714286,26450.73,79026.65,75.2634761905,6605.52,6.29097142857
20,2465,21.107118185,23.1614514016,88407.26,264728.41,69.3550982447,16704.05,4.37622478386
21,2475,14.6767448939,48.8207407407,40862.96,121763.29,145.475854241,10871.72,12.9889127838
22,2478,23.1293325959,73.2315044248,66201.28,198550.4,219.63539823,10574.5,11.6974557522
23,2498,13.0607109941,14.1447926267,9208.26,27453.07,42.1706144393,2568.34,3.94522273425
24,2500,18.9645772248,36.4085284899,453031.32,1355085.92,108.903473439,91699.75,7.36958530901
25,2501,19.5971138107,36.1718619066,461010.38,1377465.13,108.078864653,93593.02,7.34350882699
26,2502,19.9635539611,59.8934779211,459802.23,1372226.52,178.745150449,94811.16,12.3500273544
27,2505,17.0374169297,37.1085548647,220833.01,659068.44,110.749191732,50095.04,8.41791967737
28,2506,19.5404077449,52.4055916932,476943.29,1427795.42,156.883355675,93383.87,10.2608361718
29,2507,14.4589296314,30.681099171,99928.34,299207.06,91.8658458704,25483.92,7.82435369972
30,2508,18.4846888127,48.1333683392,371252.67,1110902.03,144.029823674,79686.32,10.3314300532
31,2509,15.3241791063,47.7406803594,185949.95,555033.56,142.498988447,48798.46,12.5284878049
32,2512,19.6135046248,97.2243398739,1387391.33,4155454.05,291.202105816,267487.59,18.7447505256
33,2513,17.0097312587,31.2923926822,217231.79,649600.5,93.5754105445,46217.98,6.65773264189
34,2514,13.7780476428,35.27017991,70575.63,211062.23,105.478375812,21274.89,10.6321289355
35,2515,18.3642305408,31.9091555963,417946.12,1249900.81,95.4268445564,90739.07,6.92770422965
36,2517,17.3481603763,29.1482532051,254639.14,761232.78,87.1374519231,57816.37,6.61817422161
37,2518,18.8319206647,32.6235916667,117444.93,351097.11,97.526975,25648.0,7.12444444444
38,2521,19.7383727123,47.9893704508,375804.76,1124285.8,143.568611927,77132.69,9.84966032435
39,2522,18.1443832791,55.5221865049,366168.82,1095373.34,166.091484458,75881.0,11.5058377559
40,2523,17.8128599161,31.941637952,131631.49,393364.27,95.4535962145,26002.74,6.30981315215
41,2524,18.9481124561,49.3420628537,331282.61,990127.21,147.472030086,68392.98,10.1866219839
42,2527,16.2852803795,42.8693852124,209888.51,625872.53,127.833441585,49558.19,10.1221793301
43,2528,18.168908111,53.1849073341,335756.32,1003937.68,159.027036274,68182.59,10.8003469032
44,2529,14.785844989,25.4050062762,121435.93,361772.46,75.6846150628,34740.22,7.26782845188
45,2532,14.6643537914,43.9390962494,194474.44,580537.29,131.165225938,47241.87,10.6737166742
46,2535,18.3484524046,44.5348318408,223787.53,668664.11,133.067484577,45980.1,9.15026865672
47,2536,20.7523138531,39.530065189,242556.48,725658.41,118.262452738,49849.98,8.12418187744
48,2538,20.2915203992,31.5106033203,233462.06,697563.61,94.1508449183,46497.4,6.27579970306
49,2539,17.7821005479,50.1331972789,213717.82,638415.95,149.757436078,45517.31,10.6772953319
50,2543,18.2578000437,28.7115801384,215681.39,644906.75,85.8502063365,44238.08,5.88898828541
51,2544,17.7881564239,52.4235630748,461694.32,1378895.08,156.568079936,93707.99,10.6401714545
52,2545,20.3176383729,24.0028010033,172244.1,515300.26,71.8088433668,34126.16,4.75559643255
53,2548,18.0603582518,47.3184344342,342443.51,1022127.41,141.236342407,74156.7,10.246884068
54,2549,17.2360008858,49.1944300868,255073.12,762550.21,147.068507232,53367.55,10.29268081
55,2550,15.9724959749,19.9170827068,66224.3,197896.72,59.5178105263,14690.5,4.41819548872
56,2551,17.6788410902,32.71362436,121400.26,362538.52,97.6929452978,26353.1,7.10134734573
57,2552,19.3754986932,36.2773863187,366982.04,1096275.42,108.37044484,80989.9,8.00611901938
58,2553,16.3731207368,35.2223614865,104258.19,311535.51,105.248483108,23059.89,7.79050337838
59,2554,11.7317312817,40.0093030623,75777.62,226665.12,119.675353749,21079.05,11.1293822598
60,2555,18.071134738,45.5890982815,236105.94,707265.91,136.564184205,48415.76,9.34847653987
61,2556,18.2216396281,28.2592197712,138357.14,413576.15,84.4722528595,30898.1,6.31088643791
62,2558,18.1253321418,55.1925378788,233133.28,696512.74,164.894114583,49106.56,11.6256060606
63,2559,16.3551482059,29.106349454,37314.34,111354.74,86.8601716069,8530.95,6.65440717629
64,2560,18.3999822242,39.1116473887,334756.59,1001421.04,117.002107723,67876.42,7.93041476808
65,2561,21.3228112224,46.7565544652,476449.29,1424287.11,139.773023553,91746.3,9.003562316
66,2562,13.824754763,57.2886237318,129873.31,386385.34,170.439056021,32734.2,14.4394353772
67,2564,15.7827459946,46.2992604502,158389.77,472882.25,138.229245835,37670.48,11.0115404852
