,store_number,city,sale_total_15q1,sale_mean_15q1,county_number,price_per_liter_mean_15q1,zip,vol_sol_l_sum_15q1,vol_sold_l_mean_15q1,margin_mean_15q1,margin_sum_15q1
0,2106,CEDAR FALLS,337166.53,278.190206271,7,19.3761775106,50613,21815.55,17.9996287129,92.8717244224,112560.53
1,2113,GOWRIE,22351.86,66.7219701493,94,17.7652992182,50543,1604.08,4.78829850746,22.2914925373,7467.65
2,2130,WATERLOO,277764.46,298.671462366,7,17.6110972862,50703,16176.37,17.3939462366,99.6340752688,92659.69
3,2152,ROCKWELL,16805.11,49.4267941176,17,13.2748641457,50469,1414.59,4.16055882353,16.5430882353,5624.65
4,2178,WAUKON,54411.42,100.948831169,3,16.0529181023,52172,4376.38,8.11944341373,33.8007606679,18218.61
5,2190,DES MOINES,255939.81,83.3137402344,77,22.8446474558,50314,14065.73,4.57868815104,27.8144791667,85446.08
6,2191,KEOKUK,319020.69,224.188819396,56,18.6697541293,52632,20393.82,14.3315671117,74.7883345046,106423.8
7,2200,SAC CITY,45340.33,57.5384898477,81,16.8790403674,50583,3393.35,4.30628172589,19.2670304569,15182.42
8,2228,WINTERSET,51031.04,70.8764444444,61,17.1790965608,50273,4213.4,5.85194444444,23.697625,17062.29
9,2233,SPIRIT LAKE,68657.91,118.785311419,30,19.4287156039,51360,5115.11,8.84967128028,39.68183391,22936.1
10,2238,ALTOONA,4151.93,54.6306578947,77,20.9274561404,50009,225.5,2.96710526316,18.2157894737,1384.4
11,2248,DES MOINES,121837.56,127.445146444,77,26.1750838065,50312,5604.59,5.862541841,42.6029707113,40728.44
12,2285,IOWA CITY,146725.31,228.900639626,52,25.1734395662,52240,6818.67,10.637550702,76.5074726989,49041.29
13,2290,STORM LAKE,119287.76,72.4272981178,11,18.7519156041,50588,8116.02,4.92775956284,24.1919429265,39844.13
14,2327,CORNING,20335.03,56.8017597765,2,17.4822612397,50841,1539.72,4.30089385475,18.9787430168,6794.39
15,2353,CRESCO,110552.94,126.780894495,45,16.5351391164,52136,8656.4,9.92706422018,42.5802866972,37130.01
16,2413,DUBUQUE,204237.78,193.224011353,31,16.951472271,52001,13412.92,12.6896121097,64.521551561,68199.28
17,2445,OAKLAND,16939.15,43.4337179487,78,14.27004884,51560,1506.74,3.86343589744,14.5038205128,5656.49
18,2448,INDIANOLA,55498.12,49.6405366726,91,16.9843901738,50125,3733.6,3.33953488372,16.5646332737,18519.26
19,2459,GUTHRIE CENTER,15983.98,73.6588940092,39,14.3685780118,50115,1352.49,6.23267281106,24.6744700461,5354.36
20,2465,DUBUQUE,62988.17,61.0942483026,31,20.0111888596,52003,4065.28,3.94304558681,20.3951309408,21027.38
21,2475,WEST BEND,29637.75,139.800707547,55,16.1792935759,50597,2399.31,11.3175,46.6945283019,9899.24
22,2478,ALTOONA,48759.71,211.080995671,77,21.9833766234,50009,2624.5,11.3614718615,70.3781385281,16257.35
23,2498,ARLINGTON,5577.61,41.9369172932,33,12.8524131758,50606,530.14,3.98601503759,14.1087218045,1876.46
24,2500,AMES,310035.66,105.346809378,85,18.7968338916,50010,21393.12,7.26915392457,35.2177743799,103645.91
25,2501,AMES,310718.21,106.849453232,85,19.3379988701,50010,21193.15,7.28787826685,35.7823796424,104055.16
26,2502,ANKENY,258284.84,160.325785227,77,19.3110305637,50021,18150.13,11.2663749224,53.7660397269,86617.09
27,2505,BOONE,150049.71,113.330596677,8,16.3442940764,50036,11513.64,8.69610271903,37.9855664653,50292.89
28,2506,BURLINGTON,309568.16,152.496630542,29,19.2094232935,52601,20738.22,10.2158719212,50.9449950739,103418.34
29,2507,BURLINGTON,66468.32,83.2936340852,29,14.2522866691,52601,5716.95,7.16409774436,27.7980701754,22182.86
30,2508,CEDAR RAPIDS,321983.24,173.763216406,57,18.5525554442,52405,23531.03,12.6988828926,58.0531732326,107572.53
31,2509,CEDAR RAPIDS,115531.13,124.763639309,57,15.1554756762,52404,10394.16,11.2247948164,41.7596220302,38669.41
32,2512,IOWA CITY,926706.76,255.150539648,52,19.6322927155,52240,58602.42,16.135027533,85.2007654185,309449.18
